date,비거주 복지시설 운영업,영상 및 음향기기 제조업,음식점업,담배 제조업,수도사업,"도축, 육류 가공 및 저장 처리업",수산물 가공 및 저장 처리업,"과실, 채소 가공 및 저장 처리업",동물성 및 식물성 유지 제조업,자가 소비를 위한 가사 생산 활동,낙농제품 및 식용빙과류 제조업,"곡물가공품, 전분 및 전분제품 제조업",기타 식품 제조업,동물용 사료 및 조제식품 제조업,알콜음료 제조업,비알콜음료 및 얼음 제조업,방적 및 가공사 제조업,직물직조 및 직물제품 제조업,편조원단 및 편조제품 제조업,"섬유제품 염색, 정리 및 마무리 가공업",기타 섬유제품 제조업,봉제의복 제조업,모피가공 및 모피제품 제조업,편조의복 제조업,의복 액세서리 제조업,"가죽, 가방 및 유사제품 제조업",신발 및 신발부분품 제조업,제재 및 목재 가공업,나무제품 제조업,코르크 및 조물 제품 제조업,"펄프, 종이 및 판지 제조업","골판지, 종이 상자 및 종이 용기 제조업",기타 종이 및 판지 제품 제조업,인쇄 및 인쇄관련 산업,기록매체 복제업,코크스 및 연탄 제조업,석유 정제품 제조업,기초화학물질 제조업,비료 및 질소화합물 제조업,합성고무 및 플라스틱 물질 제조업,기타 화학제품 제조업,화학섬유 제조업,기초 의약물질 및 생물학적 제제 제조업,의약품 제조업,의료용품 및 기타 의약관련제품 제조업,고무제품 제조업,플라스틱제품 제조업,유리 및 유리제품 제조업,도자기 및 기타 요업제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",기타 비금속 광물제품 제조업,1차 철강 제조업,1차 비철금속 제조업,금속 주조업,"구조용 금속제품, 탱크 및 증기발생기 제조업",무기 및 총포탄 제조업,기타 금속가공제품 제조업,반도체 제조업,전자부품 제조업,컴퓨터 및 주변장치 제조업,통신 및 방송 장비 제조업,마그네틱 및 광학 매체 제조업,의료용 기기 제조업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","안경, 사진장비 및 기타 광학기기 제조업",시계 및 시계부품 제조업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",일차전지 및 축전지 제조업,절연선 및 케이블 제조업,전구 및 조명장치 제조업,가정용 기기 제조업,기타 전기장비 제조업,일반 목적용 기계 제조업,특수 목적용 기계 제조업,자동차용 엔진 및 자동차 제조업,자동차 차체 및 트레일러 제조업,자동차 부품 제조업,선박 및 보트 건조업,철도장비 제조업,"항공기,우주선 및 부품 제조업",그외 기타 운송장비 제조업,가구 제조업,귀금속 및 장신용품 제조업,악기 제조업,운동 및 경기용구 제조업,"인형,장난감 및 오락용품 제조업",그외 기타 제품 제조업,전기업,가스 제조 및 배관공급업,"증기,냉온수 및 공기조절 공급업","하수, 폐수 및 분뇨 처리업",폐기물 수집운반업,폐기물 처리업,금속 및 비금속 원료 재생업,환경 정화 및 복원업,건물 건설업,토목 건설업,기반조성 및 시설물 축조관련 전문공사업,건물설비 설치 공사업,전기 및 통신 공사업,실내건축 및 건축마무리 공사업,건설장비 운영업,자동차 판매업,자동차 부품 및 내장품 판매업,모터사이클 및 부품 판매업,상품 중개업,산업용 농축산물 및 산동물 도매업,음·식료품 및 담배 도매업,가정용품 도매업,기계장비 및 관련 물품 도매업,"건축자재, 철물 및 난방장치 도매업",기타 전문 도매업,상품 종합 도매업,종합 소매업,음·식료품 및 담배 소매업,정보통신장비 소매업,"섬유, 의복, 신발 및 가죽제품 소매업",기타 가정용품 소매업,"문화, 오락 및 여가 용품 소매업",연료 소매업,기타 상품 전문 소매업,무점포 소매업,철도운송업,육상 여객 운송업,도로 화물 운송업,소화물 전문 운송업,파이프라인 운송업,해상 운송업,내륙 수상 및 항만내 운송업,정기 항공 운송업,부정기 항공 운송업,보관 및 창고업,기타 운송관련 서비스업,숙박시설 운영업,기타 숙박업,주점 및 비알콜음료점업,"서적, 잡지 및 기타 인쇄물 출판업",소프트웨어 개발 및 공급업,"영화, 비디오물, 방송프로그램 제작 및 배급업",오디오물 출판 및 원판 녹음업,라디오 방송업,텔레비전 방송업,우편업,전기통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",기타 정보 서비스업,은행 및 저축기관,투자기관,기타 금융업,보험업,재 보험업,연금 및 공제업,금융지원 서비스업,보험 및 연금관련 서비스업,부동산 임대 및 공급업,부동산 관련 서비스업,운송장비 임대업,개인 및 가정용품 임대업,산업용 기계 및 장비 임대업,무형재산권 임대업,자연과학 및 공학 연구개발업,인문 및 사회과학 연구개발업,법무관련 서비스업,회계 및 세무관련 서비스업,광고업,시장조사 및 여론조사업,"회사본부, 지주회사 및 경영컨설팅 서비스업","건축기술, 엔지니어링 및 관련기술 서비스업",기타 과학기술 서비스업,수의업,전문디자인업,사진 촬영 및 처리업,"그외 기타 전문, 과학 및 기술 서비스업",사업시설 유지관리 서비스업,건물·산업설비 청소 및 방제 서비스업,조경 관리 및 유지 서비스업,인력공급 및 고용알선업,여행사 및 기타 여행보조 서비스업,"경비, 경호 및 탐정업",기타 사업지원 서비스업,입법 및 일반 정부 행정,사회 및 산업정책 행정,외무 및 국방 행정,사법 및 공공질서 행정,사회보장 행정,초등 교육기관,중등 교육기관,고등 교육기관,"특수학교, 외국인학교 및 대안학교",일반 교습 학원,기타 교육기관,교육지원 서비스업,병원,의원,공중 보건 의료업,기타 보건업,거주 복지시설 운영업,창작 및 예술관련 서비스업,"도서관, 사적지 및 유사 여가관련 서비스업",스포츠 서비스업,유원지 및 기타 오락관련 서비스업,산업 및 전문가 단체,노동조합,기타 협회 및 단체,기계 및 장비 수리업,자동차 및 모터사이클 수리업,개인 및 가정용품 수리업,"미용, 욕탕 및 유사 서비스업",그외 기타 개인 서비스업,가구내 고용활동,자가 소비를 위한 가사 서비스 활동,국제 및 외국기관
2015-03,96248,142821,56110,9,219,11581,4149,3643,657,,2899,2372,34558,1470,1149,1252,2777,6563,1710,12725,6271,5566,594,617,1996,4649,1466,1479,7721,37,3732,11839,6665,23595,205,46,552,4170,615,14489,33630,1059,4320,14538,2431,6377,57027,6256,2479,5704,4190,4218,5046,3928,22807,377,61268,42363,75238,5048,23124,33,9946,21832,8451,515,29582,1073,6252,9492,7855,11602,63130,67536,24938,1520,43209,995,609,116,1059,14968,852,559,1693,774,16045,4735,976,1779,2634,7471,1840,3322,371,1638,1096,287,119,282,147,2259,2207,6722,329,9644,5647,26309,36151,34364,12518,27642,14180,21878,6621,13409,6021,7369,4420,8040,17144,7876,204,57272,6154,1637,359,197,56,,106,9085,21857,4280,572,4235,7184,47864,2580,126,37,822,1893,25032,12578,2021,3052,17871,83,2351,615,4,204,986,651,16592,61098,980,582,1464,8,16593,1518,6478,10082,2633,288,12854,45239,12972,1012,1697,730,1972,19935,23615,705,41522,2064,15968,33210,25204,4852,853,795,7,25532,26706,8778,1366,6518,9093,1327,66397,52899,951,2855,44036,1950,3733,17416,3235,2450,205,11111,3457,18098,6155,4808,13109,8,8,1356
2015-04,97473,141913,57325,5,219,11609,4126,3668,653,,2933,2392,34737,1476,1157,1260,2769,6471,1713,12698,6283,5537,587,610,1988,4717,1466,1489,7699,38,3704,11944,6642,23592,227,45,573,4216,612,14538,33776,1054,4387,14595,2501,6417,57482,6283,2485,5776,4228,4228,5033,3933,22847,374,61411,42061,74721,5012,22893,33,9976,21835,8374,629,29806,1071,6261,9522,7925,11680,63778,67640,24945,1541,43274,1013,606,115,1084,15138,865,521,1703,794,16144,4705,979,1782,2688,7502,1883,3318,337,1666,1109,294,125,286,144,2303,2216,6733,338,9887,5680,26672,36681,34658,12630,27920,14388,22149,6811,13644,6195,7471,4477,8072,17255,8120,208,57426,6276,1669,352,194,57,,105,9148,21933,4223,573,4335,7244,48376,2622,130,37,823,1863,25151,12579,2078,5353,17860,79,2399,610,4,205,990,659,16690,61350,985,572,1522,8,16738,1505,6548,10002,2718,277,12980,45228,13009,1037,1685,734,1990,19738,23934,813,43147,2055,16219,33667,22834,4952,866,800,7,26037,27108,13333,1400,6673,9471,1235,66929,53875,977,2858,44990,1962,4202,17833,3353,2855,207,11625,3472,18038,6004,4835,13234,8,8,1364
2015-05,98393,141513,58300,5,224,11741,4119,3683,641,,2932,2405,34800,1477,1180,1267,2740,6471,1732,12651,6350,5584,594,625,1979,4759,1471,1496,7729,38,3684,12013,6573,23713,237,44,567,4209,615,14522,33705,1077,4707,14548,2497,6438,57808,6305,2524,5841,4255,4312,5015,3941,22934,373,61603,41949,74771,4946,23309,33,10032,21513,8342,627,29956,1108,5903,9614,7936,11637,63929,67697,24975,1521,43445,1014,610,115,1087,15206,862,526,1723,793,16188,4757,971,1783,2685,7562,1841,3364,343,1710,1167,315,137,276,124,2319,2254,6774,339,10051,5621,26765,37032,34998,12737,28088,14443,22482,6901,13801,6256,7572,4511,8101,17443,8280,204,57539,6312,1710,350,193,58,,104,9267,22101,4272,583,4404,7326,48349,2694,128,37,820,1848,25155,12604,2119,5357,17874,88,2406,623,4,205,998,676,10337,61562,969,589,1526,11,16731,1526,6534,10040,2773,288,13075,45434,13775,1061,1718,738,2035,19925,24466,863,43271,2102,16380,34171,25463,5030,795,807,10,26295,27311,13445,1415,6805,9551,1259,67301,54345,995,2887,45273,1989,4737,17879,3377,2883,204,11686,3498,18029,6014,4890,13372,9,10,1360
2015-06,99313,140970,59414,4,223,11565,4103,3699,594,,2925,2373,34916,1473,1188,1283,2735,6419,1729,12558,6306,5559,592,613,1965,4700,1456,1525,7786,41,3680,12097,6566,23729,217,47,565,4247,614,14561,34010,1091,4715,14545,2488,6408,58090,6272,2540,5834,4285,4299,4996,3946,22939,368,61282,41936,74021,4849,23070,35,10065,21574,8337,625,30230,1096,5870,9595,7988,11626,64106,67874,25012,1517,43674,1073,610,94,1091,15338,875,524,1742,785,16254,4853,961,1884,2682,7585,1822,3321,336,1788,1160,313,128,285,124,2411,2261,6804,338,10216,5647,27005,37107,35081,12752,28359,14428,22751,7032,13977,6223,7628,4499,8133,17581,8162,203,57246,6451,1751,353,191,58,,102,9319,22807,4256,574,4588,7360,48316,2615,140,37,814,1826,25095,12633,2146,5314,17935,88,2439,637,4,203,1001,671,10463,61500,930,608,1574,12,16714,1567,6553,9969,2771,297,13097,45542,13942,1088,1738,748,2045,19729,24667,857,43193,2070,16311,33923,25903,5038,895,790,11,26385,27440,10905,1445,6806,9591,1264,67355,54631,1008,2881,45713,2055,4830,17804,3506,2905,168,11847,3483,18008,5783,4904,13609,8,9,1354
2015-07,100261,140459,60561,6,225,11831,4061,3695,594,,2898,2393,35137,1472,1188,1306,2720,6440,1730,12623,6358,5623,595,614,1984,4708,1468,1530,7874,41,3665,12165,6580,23687,212,46,578,4222,616,14545,34138,1114,4783,14597,2499,6443,58391,6294,2481,5883,4256,4264,4992,3910,23090,366,61346,39539,73469,4799,22953,32,10075,21680,8339,624,30343,1108,5873,9646,8004,11646,64384,68052,25024,1514,43712,1058,619,97,1096,15481,885,480,1763,799,16208,4901,953,1884,2735,7646,1864,3259,346,1870,1179,307,129,288,123,2522,2296,6849,332,10280,5766,27214,37337,35272,12886,28312,14550,23199,7200,14069,6252,7652,4532,8240,17601,8304,200,57100,6526,1750,352,191,58,,101,9432,22958,4248,584,4740,7345,48921,2663,140,37,810,1769,25230,12720,2210,5478,17937,88,2451,689,4,202,1010,696,10674,61863,917,589,1601,14,16839,1595,6619,9994,2762,292,13211,45721,14404,1119,1780,744,2063,19950,24930,848,43243,2041,16358,34480,26836,5117,953,818,14,26296,27158,6416,1452,6845,9686,1391,67057,54848,1022,2872,46322,2082,4780,17908,3586,2904,165,11843,3507,18097,5804,4935,13614,8,7,1351
2015-08,101913,140144,62262,6,221,11967,4185,3554,590,,2922,2406,35180,1460,1179,1272,2729,6494,1745,12609,6317,5724,583,621,2019,4670,1308,1544,7897,39,3523,12163,6569,23699,201,47,580,4192,618,14520,33323,1113,4703,14652,2485,6424,58619,6382,2602,5911,4254,4284,4723,3887,23257,367,61868,39300,73742,4780,22850,33,10074,21681,8337,636,30412,1059,5844,9792,7955,11850,64552,67941,25028,1511,43515,1068,622,96,1114,15517,889,487,1794,806,16232,4897,974,1884,2768,7645,1832,3277,336,1891,1180,307,135,298,121,2595,2310,6925,343,10418,5752,27398,37585,35378,13059,28388,14529,23644,7300,14123,6259,7605,4566,8315,17713,8413,198,56986,6555,1813,348,181,58,,100,9548,23084,4316,604,4982,7314,50021,2767,142,46,815,1774,25171,12696,2372,5548,17947,90,2457,698,4,202,1016,676,10762,62188,926,590,1584,19,16785,1622,6655,10066,2937,319,13410,43652,14486,1172,1714,763,2102,20119,24775,892,45227,2008,16428,32124,23703,5030,978,809,15,26144,27274,6345,1455,6914,9793,1262,67164,55018,1030,2870,46526,2123,5272,18079,3635,2898,165,11930,3502,18124,5822,4971,13707,0,7,1350
2015-09,106184,139915,63992,6,222,12036,4161,3606,585,,2871,2414,35263,1458,1211,1279,2717,6513,1738,12686,6271,5771,581,611,2025,4730,1324,1540,7938,37,3508,12218,6629,23734,217,46,623,4163,618,14519,32971,1109,4782,14789,2509,6433,58860,6416,2616,5923,4279,4273,4718,3880,23433,388,62242,39399,73876,4400,23036,31,10131,21770,8382,643,30885,1071,5874,9724,8076,11889,64999,68225,24965,1527,43901,1085,639,96,1138,15680,883,487,1778,808,16256,4959,977,1895,2786,7627,1853,3304,345,1869,1203,311,139,302,119,2641,2331,6956,347,10546,5784,27863,38342,35509,13229,28603,14510,23979,7433,14238,6408,7731,4632,8397,17911,8584,203,57294,6547,1829,349,182,56,,102,9616,23534,4350,585,5133,7315,50046,2798,136,46,806,1770,25125,12644,2582,5557,17971,92,2457,672,4,201,1016,677,10784,62381,949,593,1617,19,16547,1663,6737,10123,2981,346,13864,43776,14503,1199,1756,771,1796,20308,25057,914,45303,2071,15557,32305,25866,4784,969,809,14,26259,27207,8934,1460,6950,9820,1283,67252,55442,1043,2852,47059,2138,5044,18135,3481,2896,167,12151,3492,18296,5759,4998,13605,0,8,1347
2015-10,108435,139264,65157,5,223,12118,4168,3647,574,,2799,2449,35663,1455,1229,1273,2715,6613,1732,12638,6258,5782,582,586,2038,4748,1341,1545,7954,37,3455,12302,6666,23821,213,48,622,4245,617,14514,32924,1112,4947,14809,2533,6408,59039,6445,2633,5940,4337,4231,4727,3898,23495,432,62364,40229,73850,4483,23068,30,10146,21733,8363,648,30998,1077,5891,9749,8098,11950,65194,68569,25008,1555,43876,1099,630,96,1156,15836,880,480,1776,814,16278,4951,977,1896,2833,7649,1870,3350,337,1971,1233,312,136,321,121,2676,2383,6899,352,10707,5815,27856,38206,35590,13292,28368,14530,24346,7497,14097,6502,7817,4644,8451,18333,8755,202,57485,6476,1825,353,163,56,,101,9951,23428,4447,599,5205,7242,50934,2704,131,45,801,1777,25088,12686,2570,5659,17954,89,2462,668,4,201,1109,709,10808,62343,952,590,1672,23,17413,1665,6738,10222,3012,425,13879,43959,14683,1216,1784,768,1795,20571,25110,901,45711,2104,15547,32525,27083,4776,965,805,14,26538,27389,13532,1466,6908,9889,1302,67291,55638,1044,2866,47256,2101,5117,18121,3446,2910,171,12397,3530,18349,5765,5046,13709,0,8,1352
2015-11,110082,138299,67024,5,218,12195,4197,3648,575,,2793,2503,35800,1456,1235,1296,2735,6697,1717,12629,6302,5726,584,578,2082,4785,1349,1543,7987,37,3452,12311,6707,23903,216,47,619,4298,626,14551,33282,1134,4989,14892,2547,6410,59377,6465,2671,5855,4373,4131,4714,3837,23673,451,62624,40131,73740,4598,23087,33,10204,21736,8356,645,31160,1111,5919,9828,8099,11958,65677,68801,25017,1543,43851,1052,640,100,1157,16060,880,478,1747,829,16383,4941,979,1891,2866,7696,1897,3308,286,1997,1264,316,132,333,122,2780,2423,6963,346,10812,5775,28038,38340,35786,13505,28502,14455,24847,7414,14101,6656,8004,4752,8534,18443,8972,203,57573,6491,1834,351,165,57,,109,9967,23777,4605,606,5402,7195,51313,2727,137,43,793,1800,25083,12772,2541,5724,17945,82,2478,673,4,202,1027,700,10817,62667,959,594,1673,26,17484,1699,6772,10288,3080,292,14066,44143,14738,1247,1795,779,1769,20256,25043,886,46081,2157,15651,32850,26154,4687,948,796,14,26778,27385,13453,1466,6853,9994,1278,67398,56011,1009,2870,47646,2047,5004,18064,3509,2903,171,12362,3591,18534,5760,5272,13938,0,8,1351
2015-12,110232,137714,67950,6,214,12344,4177,3642,576,,2789,2487,36077,1469,1239,1307,2719,6672,1711,12642,6314,5705,584,571,2084,4820,1293,1551,7987,39,3469,12350,6729,23972,221,47,626,4336,627,14628,33527,1113,5010,14861,2581,6452,59658,6508,2693,5858,4215,4124,4737,3891,23801,426,62864,39873,73738,4603,23223,34,10304,21919,8392,648,31344,1098,5933,9835,8028,11991,66228,69038,25041,1559,43999,1061,643,100,1201,16218,883,469,1760,841,16381,4919,976,1890,2883,7735,1855,3345,263,2064,1303,308,138,325,118,2855,2461,6999,345,10969,5830,28265,38386,36019,13597,28511,14418,25095,7438,14005,6757,8094,4822,8605,18492,9114,200,57713,6544,1845,349,338,56,,106,9945,23958,4647,587,5435,7248,51750,2883,138,42,793,1808,25044,12791,2436,5679,17961,92,2503,674,4,203,1056,725,10968,62982,983,603,1682,27,17468,1693,6800,10403,3103,271,14058,44303,14766,1251,1827,801,1772,20194,24660,757,46666,2174,15707,32920,19772,4346,932,799,10,26591,27047,11064,1516,6871,10054,1096,67611,56273,970,2909,47882,2121,4653,17806,3565,2819,171,11632,3641,18722,5852,5406,14001,0,8,1352
2016-01,109586,144097,67836,6,210,12614,4259,3672,557,,2796,2493,36070,1470,1239,1288,2737,6674,1712,12612,6369,5703,574,551,2082,4759,1310,1542,8007,35,3445,12379,6759,24128,225,43,620,4318,639,14637,33724,1123,5017,14890,2579,6406,59946,6536,2688,5907,4290,4067,4718,3870,23827,374,62777,40486,72310,4493,23214,33,10621,21931,8314,653,31402,1085,5961,9747,8084,12046,66368,69074,24967,1568,43824,1014,607,110,1186,16229,887,470,1751,823,16372,4943,944,1887,2910,7640,1848,3335,269,2103,1334,288,150,322,118,2839,2447,7081,352,11016,5838,28317,38903,36357,13647,28562,14636,25084,7433,13828,6703,8176,4809,8663,18593,9227,200,57582,6550,1869,356,384,55,,109,10020,24305,4895,602,5439,7280,52026,2958,159,41,778,1780,25178,12734,2477,5676,17873,102,2520,678,1,201,1092,726,11276,63368,993,607,1687,29,17650,1660,6768,10520,3140,263,14351,43967,14766,1225,1817,802,1752,19621,23464,692,45840,2162,15592,32621,21682,3819,961,778,8,25894,26099,6577,1470,6952,10048,1100,67395,56172,952,2890,47907,2077,4437,17710,3540,2522,207,10497,3599,18881,5867,5499,14130,0,6,1357
2016-02,109672,143834,74284,6,211,12751,4280,3700,579,,2803,2486,36146,1478,1242,1179,2735,6676,1714,12526,6406,5491,577,548,2085,4840,1286,1537,8130,35,3460,12357,6800,24234,231,44,606,4325,631,14682,33926,1121,4992,14937,2623,6374,60137,6555,2722,5930,4293,4092,4682,3930,24041,375,62878,40365,71877,4506,23216,33,10681,21847,8391,643,31552,1076,5979,9831,8163,12054,66466,69097,25026,1588,43852,1008,634,114,1231,16315,878,471,1756,822,16296,4958,941,1882,2916,7699,1901,3355,287,2156,1385,281,152,358,125,2897,2451,7140,354,11130,5857,28557,38674,36562,13716,28686,14576,25239,7609,13761,6976,8221,4802,8716,18740,9122,199,57586,6623,1890,355,354,59,,112,10021,24361,4967,619,5443,7251,52409,3034,156,42,784,1812,25209,12694,2481,5763,17819,97,2535,683,1,201,1087,727,10952,63920,995,617,1738,32,17715,1649,6792,10605,3129,262,14518,43560,14819,1216,1848,819,1811,20344,24346,695,46238,2057,15892,33131,23087,4319,951,788,8,25415,25967,6516,1442,7009,10130,1119,67966,56467,938,2861,48205,2129,4463,17992,3575,2513,206,10659,3608,18939,5860,5536,14149,0,4,1351
2016-03,104295,144703,74832,6,218,12600,4263,3690,579,,2790,2518,35938,1467,1232,1194,2739,6704,1735,12458,6396,5440,575,489,2118,4853,1282,1526,8144,36,3423,12332,6831,24179,231,43,567,4302,654,15869,34181,1126,4801,14929,2656,6403,60313,6533,2717,5964,4334,4085,4712,3917,23993,381,62785,38846,71387,4510,23137,32,10692,21763,8376,651,31516,1021,6003,9768,8126,12098,66486,69207,25206,1589,43736,998,634,111,1164,16427,889,469,1752,821,16234,5061,937,1888,2903,7801,1863,3381,408,2192,1428,276,172,354,131,2989,2507,7254,360,11254,5712,28816,39064,36662,13790,28947,14507,25058,7621,13589,7030,8256,4789,8737,18912,9205,198,57682,6615,1956,352,177,58,,114,10005,24350,4828,636,5552,7271,52710,2989,152,42,771,1837,25208,13111,2443,5766,17864,96,2568,687,1,203,1077,733,10977,63920,1018,654,1749,58,17933,1694,6786,10637,3131,269,14441,44144,14868,1262,1817,806,1817,20722,24784,776,46291,2040,14352,33702,26107,4414,1015,795,8,25693,25590,9090,1559,7041,10200,1066,66188,56888,957,2872,48138,2206,4610,18117,3557,2541,208,10799,3584,18987,5844,5528,14345,0,5,1346
2016-04,104847,143793,75997,7,221,12640,3843,3776,587,,2832,2514,36191,1468,1256,1196,2683,6714,1759,12529,6474,5470,585,494,2110,4902,1271,1507,8118,35,3386,12481,6940,24118,230,42,586,4346,649,15909,34437,1117,5060,14945,2764,6441,60744,6557,2714,6013,4424,4091,4713,3901,24176,376,62814,38791,70446,4448,23132,32,10647,21220,8335,643,31546,1024,6067,9848,8066,12122,66533,69827,25216,1592,44113,994,638,116,1148,16502,907,471,1765,847,16330,5013,937,1890,2956,7865,1866,3401,410,10866,1479,280,173,351,127,3063,2536,7284,367,11498,5792,28979,39496,36844,13889,28994,14626,25291,7756,13657,7134,8316,4821,8790,19310,9440,202,57849,6598,1974,348,182,59,,75,10151,24425,4885,636,5700,7302,53246,3030,151,42,781,1856,25222,12959,2463,5863,17892,96,2585,674,1,203,1060,736,11067,64518,1007,636,1774,56,18260,1713,6778,10584,3138,276,14655,44319,15022,1313,1859,843,1838,21274,25094,908,46722,2090,14645,33928,24152,4509,1037,800,9,26153,25884,13051,1635,7262,10619,1341,67130,57581,960,2873,48571,2234,5055,18498,3633,2565,206,10708,3572,19015,5834,5584,14492,0,8,1342
2016-05,105743,142724,77141,7,220,12709,3828,3782,587,,2876,2530,36501,1455,1258,1201,2684,6747,1746,12585,6519,5466,587,490,2125,4966,1276,1522,8112,37,3419,12378,6896,24148,225,43,583,4356,646,15893,34660,1117,5037,15503,2767,6464,60820,6531,2697,6047,4496,4111,4706,3880,24342,357,62955,38564,70174,4431,22950,34,10878,21269,8353,646,31468,1038,6106,9852,8081,12083,66853,70145,25218,1601,44090,984,609,117,1142,16623,904,470,1771,843,16355,5062,935,1878,2932,7869,1837,3376,425,10740,1531,267,188,327,131,3122,2532,7448,369,11532,5806,29270,40027,36937,13969,29119,14773,25301,7839,13594,7186,8291,4926,8780,19487,9643,200,57896,6691,1988,349,180,59,,77,10186,24677,4883,635,5774,7313,53646,3077,156,42,771,1847,25237,12994,2509,5872,18015,101,2631,685,1,203,1074,749,11274,64877,1001,639,1793,57,18302,1726,6799,10646,3199,276,14814,44593,15027,1343,1887,872,1948,21463,25929,1099,47316,2113,14455,33894,25567,4700,1049,788,9,26366,26046,13316,1639,7364,10895,1355,67715,57987,980,2874,48997,2250,5493,18507,3613,2600,160,10728,3594,19070,5775,5536,14662,0,8,1358
2016-06,106579,141769,78140,7,221,12806,3860,3797,592,,2921,2532,36606,1459,1326,1191,2677,6708,1763,12521,6569,5465,601,485,2135,5032,1289,1517,8067,37,3277,12372,6889,24185,221,42,580,4473,647,15824,34918,1109,5109,15530,2785,6496,61057,6611,2698,6065,4494,3930,4666,3882,24414,353,63181,38375,69500,4488,22949,31,11025,21243,8243,632,31359,1029,6094,9922,8136,12075,67057,70258,25214,1580,44130,973,634,117,1133,16737,923,476,1770,841,16332,5185,946,1858,2939,7893,1834,3405,431,10694,1591,270,186,333,133,3165,2531,7501,367,11600,5842,29546,40184,37132,14078,29337,14779,25456,7944,13731,7278,8296,4958,8750,19559,9802,201,57828,6667,2024,348,180,62,,77,10288,24425,5113,608,5980,7410,54035,3076,167,42,778,1833,25282,12779,2537,6034,18086,106,2643,695,1,193,1087,748,11520,64754,1025,666,1793,48,18399,1875,6791,10628,3243,274,15112,45092,15234,1393,1890,887,1961,21784,25561,1101,47518,2075,14504,34155,26540,4723,986,795,10,26584,26153,11995,1633,7457,11078,1401,68063,58384,994,2864,49520,2264,7108,18566,3550,2620,144,10763,3611,19188,5793,5556,14673,0,7,1362
2016-07,107314,141026,79555,7,221,12872,3902,3851,600,,2941,2555,36828,1467,1339,1207,2686,6726,1748,12530,6592,5402,612,494,2130,5023,1280,1517,8134,39,3300,12374,6892,24154,222,41,586,4459,634,15875,35051,1119,5143,15653,2684,6502,61209,6665,2693,6069,4495,3936,4671,3753,24711,336,63434,38479,69157,4507,22991,34,11132,21322,8237,618,31487,1015,6129,9868,8072,12191,67569,70362,25286,1603,44251,859,663,115,1118,16813,924,480,1769,840,16397,5206,938,2007,2958,7981,1860,3394,426,10450,1611,268,188,330,137,3209,2541,7608,379,11815,5838,29620,40338,37501,14310,29151,14852,25983,7980,13686,7355,8344,5012,8803,19746,10019,205,57752,6720,2046,347,183,61,,76,10270,24825,5246,610,6163,7380,54632,3158,166,42,774,1826,25669,13039,2595,6186,18079,113,2678,683,1,209,1089,759,11708,64072,1030,659,1828,46,18530,1871,6802,10662,3274,291,15086,45174,15614,1450,1944,910,1937,22673,25549,1062,47413,2088,14665,34361,27596,4824,1002,817,11,26421,25865,6700,1635,7506,11143,1404,68323,58666,1026,2857,49848,2295,7201,18690,3817,2654,148,10852,3641,19288,5592,5583,14733,0,5,1355
2016-08,108096,140726,80491,7,221,12984,3907,3877,601,,2958,2525,36968,1472,1318,1219,2680,6844,1744,12464,6636,5270,626,478,2145,4951,1254,1521,8150,39,3295,12458,6949,24035,223,42,581,4937,633,15737,35084,1105,4840,15887,2691,6516,61268,6724,2664,6115,4486,3926,4645,3703,24775,344,63460,36579,77104,4471,22928,32,11177,21276,8195,635,31402,1013,6114,9855,8036,12257,67819,70427,25323,1624,44281,835,651,111,1113,16849,914,478,1764,844,16349,5157,947,1985,2961,8055,1887,3388,287,10421,1655,265,165,341,140,3266,3316,7689,374,11859,5866,29575,40410,37764,14491,29182,14803,26280,8064,13844,7330,8322,4961,8882,19786,10230,206,57767,6674,2090,347,181,59,,74,10292,24516,5281,619,6408,7443,55027,3220,174,42,771,1835,26311,13145,2625,6375,18137,118,2679,680,1,209,1100,756,11805,61920,1022,664,1873,46,18655,1858,6834,10583,3299,281,15083,45380,15680,1471,1940,928,2003,22977,25177,1121,47469,2104,14738,34479,24047,4779,1012,804,11,26293,25759,6510,1617,7611,11191,1391,68394,58813,1024,2832,50128,2296,7150,18689,3842,2572,151,10908,3658,19326,5599,5586,14765,0,5,1355
